step,mass_sol,mass_kg,r_schwarzschild_km,r_core_km,r_core_planck,rho_coherence,time_dilation,coherence_strength,coherence_challenge,maintains_coherence,status,is_finite
62,23.26662911331459,4.626499399295266e+31,68.71425204829575,2.3070537243829686e-37,14.274070146003995,8.994784785805729e+131,2.9784417814835963e+38,0.9722551046154599,1.3667334669338678,True,COHERENT CORE,True
63,24.478091570444427,4.867395074508163e+31,72.29211183283282,2.3464199227399094e-37,14.517634424889074,8.994784785805732e+131,3.080953717287632e+38,0.9703344155413696,1.3887775551102206,True,COHERENT CORE,True
64,25.752633267712014,5.120833867384731e+31,76.05626602145954,2.386457842590242e-37,14.765354740373528,8.994784785805732e+131,3.1869939063708198e+38,0.9684179557879216,1.4108216432865732,True,COHERENT CORE,True
65,27.093538657320515,5.387468881392213e+31,80.01641471621605,2.4271789457916895e-37,15.017302008604393,8.994784785805734e+131,3.2966837840675385e+38,0.9665057160422326,1.4328657314629258,True,COHERENT CORE,True
66,28.50426320853436,5.667987226227432e+31,84.18276309056453,2.468594889780328e-37,15.273548355799846,8.994784785805737e+131,3.41014896527051e+38,0.9645976870119263,1.4549098196392787,True,COHERENT CORE,True
67,29.988442312310294,5.963111788475965e+31,88.56604768778672,2.5107175309078183e-37,15.53416713889713,8.994784785805732e+131,3.527519388282729e+38,0.9626938594250878,1.4769539078156313,True,COHERENT CORE,True
68,31.549900649580884,6.27360309446721e+31,93.17756408870461,2.5535589278355818e-37,15.799232966552813,8.994784785805732e+131,3.648929463620513e+38,0.9607942240302189,1.4989979959919841,True,COHERENT CORE,True
69,33.1926620473319,6.600261270125806e+31,98.02919602002191,2.5971313449868976e-37,16.06882172050139,8.994784785805734e+131,3.774518227938005e+38,0.9588987715961929,1.5210420841683367,True,COHERENT CORE,True
70,34.920959847872716,6.9439281028699455e+31,103.13344597829867,2.6414472560579003e-37,16.34301057727834,8.994784785805734e+131,3.9044295032494864e+38,0.9570074929122101,1.5430861723446894,True,COHERENT CORE,True
71,36.73924781802076,7.3054892108699735e+31,108.50346744847533,2.686519347588488e-37,16.62187803031383,8.994784785805732e+131,4.0388120616317825e+38,0.9551203787877525,1.5651302605210422,True,COHERENT CORE,True
72,38.652211626312635,7.685876325257388e+31,114.15309879997235,2.73236052259416e-37,16.905503912403425,8.99478478580573e+131,4.177819795595386e+38,0.9532374200525396,1.5871743486973948,True,COHERENT CORE,True
73,40.66478091781858,8.086069691165471e+31,120.09689894771532,2.7789839042598316e-37,17.19396941856224,8.994784785805732e+131,4.321611894319429e+38,0.9513586075564838,1.6092184368737477,True,COHERENT CORE,True
74,42.78214201767617,8.507100593788853e+31,126.35018486998118,2.8264028396966716e-37,17.48735712926903,8.994784785805732e+131,4.470353025952275e+38,0.9494839321696458,1.6312625250501003,True,COHERENT CORE,True
75,45.009751296080466,8.950054015971713e+31,132.92907107975017,2.87463090376305e-37,17.78575103410693,8.994784785805732e+131,4.624213526186569e+38,0.9476133847821898,1.653306613226453,True,COHERENT CORE,True
76,47.35334922917119,9.416071434173002e+31,139.85051115127752,2.92368190295068e-37,18.08923655580759,8.994784785805734e+131,4.7833695933246225e+38,0.9457469563043402,1.6753507014028057,True,COHERENT CORE,True
77,49.818975192051624,9.906353760013889e+31,147.13234140889887,2.973569879337071e-37,18.397900574705545,8.994784785805732e+131,4.9480034900575675e+38,0.9438846376663369,1.6973947895791583,True,COHERENT CORE,True
78,52.412983022060615,1.0422164434987687e+32,154.7933268906543,3.0243091146054282e-37,18.711831453609907,8.994784785805735e+131,5.118303752189355e+38,0.942026419818391,1.7194388777555112,True,COHERENT CORE,True
79,55.14205739240302,1.0964832686307162e+32,162.85320970517586,3.0759141341331386e-37,19.03111906310043,8.994784785805735e+131,5.294465404544576e+38,0.9401722937306409,1.7414829659318638,True,COHERENT CORE,True
